scenario,basin,sim_peak,peak_date,training_max,norm_peak,precip_total,precip_max_day
hist,camels_10336645,26.211360931396484,2002-02-22,76.20999908447266,0.34393598276183285,773.5247802734375,88.06916809082031
hist,camels_10336660,45.43229293823242,2002-02-22,168.75999450683594,0.26921245802951305,909.9158935546875,99.46416473388672
hist,camels_10343500,15.575035095214844,2002-02-22,72.0,0.21631993187798393,814.0180053710938,82.52054595947266
hist,camels_11148900,83.1260757446289,2002-02-23,142.33999633789062,0.5839966129217955,707.5586547851562,97.11821746826172
hist,camels_11230500,2.91793155670166,2002-02-23,25.559999465942383,0.11416007893856495,906.727294921875,97.76921844482422
hist,camels_11237500,37.752254486083984,2002-03-08,90.79000091552734,0.41581951872882306,1182.7855224609375,158.91827392578125
hist,camels_11264500,6.388916492462158,2002-02-23,47.150001525878906,0.1355019360700448,935.9652709960938,101.5650634765625
hist,camels_11266500,9.34736442565918,2002-02-23,61.81999969482422,0.15120291931094546,936.964599609375,104.32772827148438
hist,camels_11381500,52.576927185058594,2002-02-20,103.87999725341797,0.5061313879013282,727.111328125,97.08855438232422
hist,camels_11451100,63.160526275634766,2002-02-20,130.9199981689453,0.48243604612741786,800.011962890625,93.52857971191406
hist,camels_11468500,33.12446594238281,2002-02-20,121.25,0.27319147168975516,490.0802001953125,66.0634994506836
hist,camels_11473900,61.84893035888672,2002-02-20,103.0,0.6004750520280264,751.649169921875,96.05716705322266
hist,camels_11475560,79.84147644042969,2002-02-19,235.52999877929688,0.3389864427216554,730.7724609375,117.03620910644531
hist,camels_11476600,66.7689437866211,2002-02-22,127.80000305175781,0.5224486869501896,711.7026977539062,85.39901733398438
hist,camels_11478500,105.00288391113281,2002-02-20,124.30000305175781,0.8447536712240482,826.5409545898438,109.9560546875
hist,camels_11480390,90.62291717529297,2002-02-20,103.7699966430664,0.87330558067767,667.8193969726562,84.06127166748047
hist,camels_11481200,32.36918258666992,2002-02-10,141.8699951171875,0.22816087756915984,411.6715087890625,44.202728271484375
hist,camels_11482500,37.221866607666016,2002-02-20,102.69000244140625,0.3624682610062687,523.5924072265625,55.8775520324707
hist,camels_11522500,42.87074279785156,2002-02-20,81.04000091552734,0.5290071855075397,547.156982421875,74.76277923583984
hist,camels_11523200,57.98202133178711,2002-02-20,95.13999938964844,0.609438950007979,893.5244140625,108.29582214355469
hist,camels_11528700,48.94335174560547,2002-02-22,68.9000015258789,0.7103534203438631,609.5302124023438,74.06694030761719
hist,camels_11532500,83.28364562988281,2002-02-20,140.3699951171875,0.5933151565642907,692.52001953125,90.62353515625
ftr,camels_10336645,97.53800201416016,2002-03-03,76.20999908447266,1.2798583281184288,1126.850341796875,173.00140380859375
ftr,camels_10336660,110.94558715820312,2002-03-03,168.75999450683594,0.6574163946995688,1260.608154296875,195.73423767089844
ftr,camels_10343500,77.05553436279297,2002-03-03,72.0,1.0702157550387912,1115.5050048828125,165.2081756591797
ftr,camels_11148900,117.25933074951172,2002-03-01,142.33999633789062,0.8237974832538163,1202.4434814453125,179.84353637695312
ftr,camels_11230500,26.20591163635254,2002-03-03,25.559999465942383,1.0252704297302826,1155.278076171875,164.38299560546875
ftr,camels_11237500,66.81291961669922,2002-03-03,90.79000091552734,0.7359061454230313,1614.3558349609375,333.9012451171875
ftr,camels_11264500,52.55197525024414,2002-03-03,47.150001525878906,1.1145699586329874,1309.9105224609375,186.6885986328125
ftr,camels_11266500,52.51426315307617,2002-03-03,61.81999969482422,0.8494704531270459,1357.287353515625,200.90736389160156
ftr,camels_11381500,113.39212799072266,2002-03-03,103.87999725341797,1.0915684538775987,1192.0843505859375,129.11239624023438
ftr,camels_11451100,124.25127410888672,2002-03-03,130.9199981689453,0.9490626019452508,1155.766845703125,128.90682983398438
ftr,camels_11468500,50.33592987060547,2002-03-03,121.25,0.4151416896544781,685.9118041992188,53.39019775390625
ftr,camels_11473900,96.24317169189453,2002-03-03,103.0,0.9343997251640246,1023.2689819335938,109.38285827636719
ftr,camels_11475560,109.26168823242188,2002-03-03,235.52999877929688,0.46389712053115334,1152.6112060546875,127.27227783203125
ftr,camels_11476600,106.19642639160156,2002-02-22,127.80000305175781,0.8309579331433428,1162.8597412109375,132.66749572753906
ftr,camels_11478500,125.45806121826172,2002-02-22,124.30000305175781,1.0093166382789363,1232.573486328125,130.59112548828125
ftr,camels_11480390,107.34001159667969,2002-03-03,103.7699966430664,1.0344031518656873,960.4132080078125,86.68270874023438
ftr,camels_11481200,47.18008804321289,2002-02-23,141.8699951171875,0.3325586076480878,765.7861938476562,117.86332702636719
ftr,camels_11482500,58.84259033203125,2002-02-23,102.69000244140625,0.5730118700270376,859.0515747070312,82.72966766357422
ftr,camels_11522500,87.58999633789062,2002-02-23,81.04000091552734,1.0808242269048185,844.0697021484375,79.65742492675781
ftr,camels_11523200,69.69100189208984,2002-02-23,95.13999938964844,0.7325100098715417,1298.381591796875,117.78470611572266
ftr,camels_11528700,74.24354553222656,2002-02-23,68.9000015258789,1.0775550636866187,909.3953857421875,81.69500732421875
ftr,camels_11532500,125.60027313232422,2002-02-23,140.3699951171875,0.8947800634136033,983.8336791992188,129.52792358398438
